Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M74,73,0,40,0,5.0
M68,67,45,75,0,5.0
M101,100,80,110,0,5.0
M83,82,116,146,0,4.0
M110,109,152,182,0,4.0
M20,19,187,227,0,5.0
M33,32,232,252,0,4.0
M55,54,257,287,0,4.0
M106,105,292,322,0,4.0
M100,99,327,367,0,5.0
M97,96,372,412,0,5.0
M107,106,417,447,0,4.0
OptimalValue=54.00,TotalObserved=12,,Cool_Down_S=5,1Telescope(s),
