Object,Object_Index,Start_Time,End_Time,Telescope
M67,66,0,20,0
M84,83,25,45,0
M102,101,50,70,0
M91,90,75,95,0
M3,2,101,121,0
M86,85,126,146,0
M101,100,151,171,0
M81,80,176,196,0
M57,56,201,221,0
M56,55,226,246,0
M108,107,251,271,0
M51,50,276,296,0
M29,28,301,321,0
M73,72,326,346,0
M30,29,351,371,0
M103,102,376,396,0
M13,12,401,421,0
M76,75,427,447,0
