Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M1,0,0,20,0,1.0
M2,1,25,45,0,1.0
M3,2,50,70,0,1.0
M4,3,75,95,0,1.0
M5,4,100,120,0,1.0
M6,5,125,145,0,1.0
M7,6,150,170,0,1.0
M8,7,175,195,0,1.0
M9,8,200,220,0,1.0
M10,9,225,245,0,1.0
M11,10,250,270,0,1.0
M12,11,275,295,0,1.0
M13,12,300,320,0,1.0
M14,13,325,345,0,1.0
M15,14,350,370,0,1.0
M16,15,375,395,0,1.0
M17,16,400,420,0,1.0
M18,17,425,445,0,1.0
OptimalValue=18.00,TotalObserved=18,,Cool_Down_S=5,1Telescope(s),
