Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M35,34,1,21,0,1.0
M13,12,26,46,0,1.0
M33,32,51,71,0,1.0
M5,4,76,96,0,1.0
M42,41,101,121,0,1.0
M6,5,126,146,0,1.0
M41,40,151,171,0,1.0
M31,30,176,196,0,1.0
M24,23,201,221,0,1.0
M4,3,226,246,0,1.0
M47,46,251,271,0,1.0
M48,47,277,297,0,1.0
M34,33,302,322,0,1.0
M22,21,327,347,0,1.0
M39,38,352,372,0,1.0
M7,6,377,397,0,1.0
M44,43,403,423,0,1.0
M45,44,428,448,0,1.0
OptimalValue=18.00,TotalObserved=18,,Cool_Down_S=5,1Telescope(s),
